direnv: loading /var/home/caromel/Code/ucaromel/.envrc
[ACCUM-ENDPOINT] primalAMR=(96,32) timeEz=4.82155131e-03 fluxSumEz_before=0.00000000e+00
[ACCUM-ENDPOINT] primalAMR=(96,128) timeEz=-4.39209354e-03 fluxSumEz_before=0.00000000e+00
[ACCUM-ENDPOINT] primalAMR=(200,128) timeEz=4.55924156e-03 fluxSumEz_before=0.00000000e+00
[ACCUM-ENDPOINT] primalAMR=(200,32) timeEz=-4.98658451e-03 fluxSumEz_before=0.00000000e+00
[ACCUM-ENDPOINT] primalAMR=(96,64) timeEz=5.12355487e-03 fluxSumEz_before=0.00000000e+00
[ACCUM-ENDPOINT] primalAMR=(96,160) timeEz=-3.60221009e-03 fluxSumEz_before=0.00000000e+00
[ACCUM-ENDPOINT] primalAMR=(200,160) timeEz=7.43357347e-03 fluxSumEz_before=0.00000000e+00
[ACCUM-ENDPOINT] primalAMR=(200,64) timeEz=-5.39141048e-03 fluxSumEz_before=0.00000000e+00
[ACCUM-ENDPOINT] primalAMR=(96,128) timeEz=-4.17092427e-03 fluxSumEz_before=-1.09802339e-03
[ACCUM-ENDPOINT] primalAMR=(96,32) timeEz=4.57853166e-03 fluxSumEz_before=1.20538783e-03
[ACCUM-ENDPOINT] primalAMR=(200,128) timeEz=4.32254613e-03 fluxSumEz_before=1.13981039e-03
[ACCUM-ENDPOINT] primalAMR=(200,32) timeEz=-4.72842663e-03 fluxSumEz_before=-1.24664613e-03
[ACCUM-ENDPOINT] primalAMR=(96,160) timeEz=-3.45259109e-03 fluxSumEz_before=-9.00552523e-04
[ACCUM-ENDPOINT] primalAMR=(96,64) timeEz=4.86834513e-03 fluxSumEz_before=1.28088872e-03
[ACCUM-ENDPOINT] primalAMR=(200,64) timeEz=-5.10957131e-03 fluxSumEz_before=-1.34785262e-03
[ACCUM-ENDPOINT] primalAMR=(200,160) timeEz=6.99772159e-03 fluxSumEz_before=1.85839337e-03
[ACCUM-ENDPOINT] primalAMR=(96,32) timeEz=4.35545808e-03 fluxSumEz_before=2.35002074e-03
[ACCUM-ENDPOINT] primalAMR=(200,128) timeEz=4.10581231e-03 fluxSumEz_before=2.22044692e-03
[ACCUM-ENDPOINT] primalAMR=(96,128) timeEz=-3.96779970e-03 fluxSumEz_before=-2.14075445e-03
[ACCUM-ENDPOINT] primalAMR=(96,160) timeEz=-3.32243908e-03 fluxSumEz_before=-1.76370030e-03
[ACCUM-ENDPOINT] primalAMR=(200,32) timeEz=-4.49202273e-03 fluxSumEz_before=-2.42875279e-03
[ACCUM-ENDPOINT] primalAMR=(96,64) timeEz=4.63473540e-03 fluxSumEz_before=2.49797500e-03
[ACCUM-ENDPOINT] primalAMR=(200,160) timeEz=6.58387513e-03 fluxSumEz_before=3.60782377e-03
[ACCUM-ENDPOINT] primalAMR=(200,64) timeEz=-4.85109840e-03 fluxSumEz_before=-2.62524545e-03
[ACCUM-ENDPOINT] primalAMR=(96,32) timeEz=4.15208930e-03 fluxSumEz_before=3.43888527e-03
[ACCUM-ENDPOINT] primalAMR=(96,128) timeEz=-3.78250355e-03 fluxSumEz_before=-3.13270438e-03
[ACCUM-ENDPOINT] primalAMR=(96,160) timeEz=-3.20243245e-03 fluxSumEz_before=-2.59431007e-03
[ACCUM-ENDPOINT] primalAMR=(200,32) timeEz=-4.27700583e-03 fluxSumEz_before=-3.55175847e-03
[ACCUM-ENDPOINT] primalAMR=(200,128) timeEz=3.90870529e-03 fluxSumEz_before=3.24690000e-03
[ACCUM-ENDPOINT] primalAMR=(96,64) timeEz=4.42214538e-03 fluxSumEz_before=3.65665885e-03
[ACCUM-ENDPOINT] primalAMR=(200,64) timeEz=-4.61583113e-03 fluxSumEz_before=-3.83802005e-03
[ACCUM-ENDPOINT] primalAMR=(200,160) timeEz=6.20552530e-03 fluxSumEz_before=5.25379255e-03
[REFLUX] dir=1 side=0 B-AMR=(0,63) E-AMR=(0,64) eComp=2 timeE=3.49702551e-05 fluxSumE=4.22407632e-03 dE=-4.18910607e-03
[REFLUX] dir=1 side=0 B-AMR=(1,63) E-AMR=(1,64) eComp=2 timeE=3.49030171e-05 fluxSumE=4.21528280e-03 dE=-4.18037978e-03
[REFLUX] dir=1 side=0 B-AMR=(2,63) E-AMR=(2,64) eComp=2 timeE=3.47015706e-05 fluxSumE=4.19005488e-03 dE=-4.15535331e-03
[REFLUX] dir=1 side=0 B-AMR=(3,15) E-AMR=(3,16) eComp=2 timeE=-3.63160905e-05 fluxSumE=-4.53802889e-03 dE=4.50171280e-03
[REFLUX] dir=1 side=0 B-AMR=(4,15) E-AMR=(4,16) eComp=2 timeE=-3.58052260e-05 fluxSumE=-4.47410248e-03 dE=4.43829725e-03
[REFLUX] dir=1 side=0 B-AMR=(5,15) E-AMR=(5,16) eComp=2 timeE=-3.51518668e-05 fluxSumE=-4.39236519e-03 dE=4.35721333e-03
[REFLUX] dir=1 side=0 B-AMR=(6,15) E-AMR=(6,16) eComp=2 timeE=-3.43586177e-05 fluxSumE=-4.29316499e-03 dE=4.25880637e-03
[REFLUX] dir=1 side=0 B-AMR=(55,63) E-AMR=(55,64) eComp=2 timeE=-3.11604386e-05 fluxSumE=-3.91203889e-03 dE=3.88087845e-03
[REFLUX] dir=1 side=0 B-AMR=(56,63) E-AMR=(56,64) eComp=2 timeE=-3.04449368e-05 fluxSumE=-3.82576857e-03 dE=3.79532364e-03
[REFLUX] dir=1 side=0 B-AMR=(57,63) E-AMR=(57,64) eComp=2 timeE=-2.96058402e-05 fluxSumE=-3.72455004e-03 dE=3.69494420e-03
[REFLUX] dir=1 side=0 B-AMR=(66,15) E-AMR=(66,16) eComp=2 timeE=2.00754779e-05 fluxSumE=2.43270302e-03 dE=-2.41262754e-03
[REFLUX] dir=1 side=0 B-AMR=(67,15) E-AMR=(67,16) eComp=2 timeE=1.80693011e-05 fluxSumE=2.18899831e-03 dE=-2.17092901e-03
[REFLUX] dir=1 side=0 B-AMR=(68,15) E-AMR=(68,16) eComp=2 timeE=1.59911357e-05 fluxSumE=1.93645564e-03 dE=-1.92046451e-03
[REFLUX] dir=1 side=0 B-AMR=(69,15) E-AMR=(69,16) eComp=2 timeE=1.38494679e-05 fluxSumE=1.67607283e-03 dE=-1.66222336e-03
[REFLUX] dir=1 side=0 B-AMR=(3,63) E-AMR=(3,64) eComp=2 timeE=3.43667164e-05 fluxSumE=4.14802749e-03 dE=-4.11366077e-03
[REFLUX] dir=1 side=0 B-AMR=(4,63) E-AMR=(4,64) eComp=2 timeE=3.38997866e-05 fluxSumE=4.08945363e-03 dE=-4.05555384e-03
[REFLUX] dir=1 side=0 B-AMR=(5,63) E-AMR=(5,64) eComp=2 timeE=3.33026385e-05 fluxSumE=4.01456497e-03 dE=-3.98126233e-03
[REFLUX] dir=1 side=0 B-AMR=(7,15) E-AMR=(7,16) eComp=2 timeE=-3.34286289e-05 fluxSumE=-4.17691729e-03 dE=4.14348866e-03
[REFLUX] dir=1 side=0 B-AMR=(8,15) E-AMR=(8,16) eComp=2 timeE=-3.23655959e-05 fluxSumE=-4.04410877e-03 dE=4.01174318e-03
[REFLUX] dir=1 side=0 B-AMR=(9,15) E-AMR=(9,16) eComp=2 timeE=-3.11737483e-05 fluxSumE=-3.89529472e-03 dE=3.86412097e-03
[REFLUX] dir=1 side=0 B-AMR=(10,15) E-AMR=(10,16) eComp=2 timeE=-2.98578360e-05 fluxSumE=-3.73109653e-03 dE=3.70123869e-03
[REFLUX] dir=1 side=0 B-AMR=(58,63) E-AMR=(58,64) eComp=2 timeE=-2.86463608e-05 fluxSumE=-3.60875003e-03 dE=3.58010367e-03
